"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Tom J. Lynch","Richmond",73,"Forward",8.1,3.66,11.75,63.63,2.18,1.26,0.08,1.62,0.11,1.99,0.19,2.88,1.29,1.27,6.12,6,0.16,1.74,2.49,2.01,0.11,0.63,92.36,0.01,0.18,5.95,207.07,3.01,0.95,0.78,0.01,0.04,5.27,1.56,1.92,4.75,1.51,2.89,0.03,0.22,10.01,1.37,0.41,1.67
"Joel Selwood","Geelong",82,"Midfield",11.68,11.54,23.22,69.78,0.29,0.33,0.02,4.73,1.59,3.23,4.98,3.55,2.34,1.41,11.09,12.62,0.37,0.23,0.23,2.23,0.09,0.51,77.59,2.21,2.79,5.4,302.77,3.78,3.15,0.28,0.07,0.23,0.46,0.09,9.5,7.3,0.67,6.6,0,0.48,18.55,0.12,1.52,0.8
"Rhys Stanley","Geelong",57,"Ruck",6.79,6.33,13.12,72.91,0.54,0.42,23.58,2.35,0.82,2.46,2.96,2.88,1.23,1.44,6.77,6.51,0,0.86,0.79,4.28,0.02,0.3,79.51,1.33,1.63,4.68,179.19,2.49,1.91,0.25,0.21,0.68,1.09,0.23,5.56,4.46,0.44,3.86,6.09,0.75,11.58,55.67,2.3,3.33
"Tom Stewart","Geelong",86,"Defender",14.2,5.28,19.48,79.07,0.03,0.07,0,1.93,5.6,1.55,0.41,2.45,0.49,0.77,4.87,11.74,0.08,0.57,0.05,3.88,0.29,0.15,81.37,0.06,0.35,2.71,383.9,3.6,6.1,0.03,0.33,1.57,0.05,0.02,5.91,11.34,0.05,3.66,0,1.71,8.02,0,1.14,3.38
"Shane Edwards","Richmond",78,"Forward",8.47,10.92,19.4,73.05,0.47,0.35,0,2.91,1.53,3.05,3.28,2.9,0.64,0.95,8.97,10.19,0.09,0.23,0.4,1.74,0.36,0.91,79.76,1.1,2.17,5.69,296.04,3.19,3.6,0.38,0.06,0.21,0.32,0.09,7.31,5.5,1.13,7.1,0,0.47,15.51,0.03,1.45,0.56
"Jack Graham","Richmond",55,"Midfield",7.93,7.2,15.13,71.69,0.38,0.15,0,5.95,0.87,2.85,1.91,2.82,0.87,1.33,6,9.42,0.02,0.04,0.15,0.76,0.11,0.42,74.4,0.45,1.45,3.96,232.24,2.89,2.15,0.89,0.02,0.13,0.09,0.02,9.44,5.09,0.75,4.53,0,0.13,25.13,0,1.02,0.15
"Kamdyn McIntosh","Richmond",79,"Midfield",9.44,4.73,14.18,68.77,0.3,0.19,0.03,2.47,1.61,2.99,0.68,2.68,0.51,0.78,4.9,9.32,0,0.35,0.27,2.44,0.63,0.29,79.06,0.15,0.53,3.27,302.87,3.15,3.39,0.19,0.11,0.56,0.44,0.18,6.06,6.19,0.41,3.71,0,0.67,12.18,0.23,0.68,1.63
"Toby Nankervis","Richmond",70,"Ruck",7.61,6.93,14.54,59.99,0.36,0.19,23.07,3.8,1.13,2.13,2.91,3.61,1.14,1.91,7.93,6.19,0.09,0.87,0.27,3.74,0,0.17,78.94,1.27,1.67,3.81,162.36,2.61,3.04,0.39,0.19,0.87,0.94,0.14,7.31,3.93,0.41,4.54,6.47,1.46,15.46,56.59,2,3.23
"Trent Cotchin","Richmond",78,"Midfield",12.01,9.31,21.32,62.05,0.33,0.33,0.04,4.37,1.54,4.03,4.82,3.68,1.19,1.24,10.9,10.33,0.31,0.22,0.22,1.45,0.26,0.5,75.78,2.19,2.63,4.87,327.46,4.37,3.33,0.55,0.05,0.17,0.5,0.14,8.72,6.29,1.09,7.91,0,0.4,19,0.56,1.49,0.51
"Nathan Broad","Richmond",68,"Defender",7.4,4.01,11.41,75.71,0.01,0,0.09,2.01,2.29,0.93,0.13,1.87,0.54,0.62,3.57,7.71,0,0.29,0.03,4.47,0.4,0.04,84.22,0.01,0.12,1.53,168.78,2.13,4.6,0.01,0.53,2.07,0.07,0.03,6.1,5.29,0.06,2.65,0.01,1.21,8.41,0.54,0.68,4
"Jack Riewoldt","Richmond",81,"Forward",8.95,2.9,11.85,56.38,2.23,1.32,0.37,2.05,0.09,2.69,0.4,2.86,0.99,1.14,5.84,6.07,0.2,1.6,3.07,2.01,0.02,0.64,92.48,0.04,0.37,6.22,247.47,3.48,1.06,1.16,0,0.01,4.56,1.3,1.96,4.8,1.47,2.62,0.05,0.14,11.11,3.04,0.49,1.04
"Dylan Grimes","Richmond",92,"Defender",6.2,5.05,11.25,82.16,0.01,0.03,0,2.66,1.75,0.73,0.2,1.74,0.9,0.7,4.75,6.21,0.03,0.82,0.02,5.34,0.27,0.03,88.02,0.02,0.17,1.86,131.11,1.43,5.92,0.03,0.54,2.64,0.09,0.04,7.12,4.87,0.02,2.88,0,1.61,9.64,0,0.99,4.54
"Mark O'Connor","Geelong",51,"Defender",7.73,4.8,12.53,80.71,0.06,0,0,2.08,2.04,0.94,0.41,1.63,0.57,0.63,4.02,8.47,0,0.25,0.06,2.63,0.14,0.08,85.78,0.04,0.37,2.08,163.76,1.98,4.37,0.04,0.35,1.31,0.14,0.02,7.1,6.12,0.14,3.16,0,0.98,10.37,0,0.71,2
"Callum Ah Chee","Brisbane Lions",47,"Forward",7.68,4.81,12.49,67.53,0.38,0.28,0,2.85,1.43,1.98,0.6,2.72,0.7,1.04,4.81,7.94,0,0.34,0.49,1.53,0.04,0.26,78.53,0.17,0.43,3.02,207.64,2.96,2.91,0.49,0.28,0.81,0.62,0.17,5.89,4.89,0.85,3.57,0,0.49,12.11,0,0.66,0.98
"Grant Birchall","Brisbane Lions",24,"Defender",10.17,4.83,15,79.12,0.04,0.04,0,1,2.54,1.67,0.54,1.12,0.33,0.33,3.08,10.92,0,0.12,0.04,1.33,0.21,0.08,69.58,0.08,0.46,2.71,247.29,2,3.25,0,0.17,0.75,0,0,4.62,8.04,0,2.46,0,0.71,6.08,0,0.88,0.71
"Zac Bailey","Brisbane Lions",46,"Midfield",7.57,5.41,12.98,73.48,0.52,0.39,0,2.26,1.15,2.5,0.85,2.41,0.65,1.07,4.67,8.59,0,0.11,0.26,1.07,0.02,0.24,75.89,0.15,0.7,3.28,223.85,2.85,2.28,0.46,0.02,0.22,0.59,0.13,6,5.13,0.83,3.59,0,0.26,14.91,0,0.46,0.54
"Stefan Martin","Brisbane Lions",76,"Ruck",8.51,7.89,16.41,64.75,0.11,0.17,30.25,2.51,1.03,2.39,4.72,3.05,1.99,1.25,9.3,6.84,0.14,0.57,0.21,2.08,0.01,0.47,83.24,1.86,2.86,5.17,157.47,3.24,2.5,0.32,0.14,0.63,0.88,0.26,4.29,4.36,0.39,4.54,8.93,0.68,9,64.29,3.24,1.59
"Daniel McStay","Brisbane Lions",79,"Forward",5.39,4.25,9.65,70.77,0.7,0.52,0.25,1.92,0.59,1.19,0.19,1.49,0.58,0.49,4.59,5.15,0,1.46,1.06,2.54,0,0.33,84.73,0,0.19,3.32,140.01,1.82,2.11,0.62,0.27,0.82,2.04,0.59,3.61,3.53,0.76,2.46,0.08,0.72,9.32,1.54,0.56,2.09
"Lachie Neale","Brisbane Lions",86,"Midfield",12.16,16.81,28.98,75.49,0.58,0.37,0,3.91,1.6,3.53,6.88,2.97,1.41,0.99,14.2,14.7,0.59,0.24,0.35,0.83,0.41,0.44,84.65,2.65,4.22,5.77,316.3,3.86,3.73,0.45,0.09,0.2,0.26,0.09,10.24,7.95,0.98,9.86,0,0.4,20.56,0.02,1.65,0.2
"Lincoln McCarthy","Brisbane Lions",46,"Forward",6.65,5.11,11.76,64.85,0.89,0.7,0,3.48,0.26,2.41,1.2,2.7,0.72,1.11,6.04,6.22,0.04,0.52,0.91,1.02,0.3,0.54,79.28,0.57,0.63,4.52,192.07,2.59,0.98,1.04,0.04,0.07,1.15,0.39,4.78,3.72,1.61,4.54,0,0.04,14.11,0,0.43,0.54
"Harris Andrews","Brisbane Lions",77,"Defender",7.97,5.1,13.08,83.13,0.04,0.01,0.04,1.44,2.53,0.62,0.14,1.88,0.73,0.9,5.34,7.9,0.05,1.4,0.01,9.77,0.08,0.06,94.7,0.01,0.13,1.96,159.22,1.88,6.53,0.03,0.96,4.42,0.13,0.08,6.16,6.34,0,3.06,0,2.51,7.52,0.12,0.95,8.91
"Charlie Cameron","Brisbane Lions",78,"Forward",8.81,3.33,12.14,65.85,1.72,1.06,0,2.83,0.51,2.91,0.91,2.14,1.04,0.95,5.15,7.1,0.14,0.46,1.44,0.73,0.91,0.6,84.63,0.24,0.69,5.54,240.88,2.79,1.36,1.13,0.04,0.08,2.15,0.62,3.06,5.33,1.55,3.26,0,0.14,12.27,0,0.56,0.41
"Daniel Rich","Brisbane Lions",79,"Defender",15.08,5.39,20.47,78,0.22,0.27,0,1.82,5.19,2.9,1.1,2.39,0.77,0.76,5.37,12.76,0.05,0.25,0.09,2.3,0.04,0.29,82.46,0.27,0.84,3.85,452.1,3.97,5.46,0.05,0.25,0.97,0.01,0.01,6.44,11.59,0.1,4.05,0,1.32,9.57,0,1.44,1.77
"Brandon Starcevich","Brisbane Lions",23,"Defender",6.61,2.57,9.17,71.52,0.09,0.17,0,1.65,1.52,1.57,0.43,1.48,0.61,0.61,4,5.48,0,0.39,0.09,1.48,0,0.26,77.48,0.09,0.35,1.83,191.04,2,3.39,0.17,0.43,1.26,0.13,0.04,4.35,4.7,0.22,2.74,0,1,7.78,0,0.57,1.09
"Dayne Zorko","Brisbane Lions",84,"Midfield",15.11,6.38,21.49,65.46,1.1,0.94,0,6.44,1.64,5.19,4.35,3.93,1.67,1.39,9.31,12,0.46,0.13,0.48,1.29,0.44,0.67,82.99,1.51,2.82,6.63,447.15,4.39,2.42,1.42,0.02,0.07,0.48,0.11,10.87,9.15,1.42,5.94,0,0.17,26.24,0.02,1.45,0.32
"Ryan Lester","Brisbane Lions",61,"Defender",8.51,5.95,14.46,79.48,0.23,0.18,0,2.75,1.89,1.18,0.87,1.8,0.67,0.64,5.33,9.05,0.02,0.48,0.31,2.95,0.05,0.33,83.3,0.25,0.61,3.05,181.36,2.18,4.3,0.33,0.33,1.33,0.52,0.15,7.59,6.11,0.44,3.74,0,1.08,12.26,0,0.93,2.31
"Jarryd Lyons","Brisbane Lions",80,"Midfield",13.75,9.91,23.66,63.59,0.44,0.54,0,5.08,1.24,4,5.99,3.16,1.02,0.72,12.11,10.86,0.26,0.21,0.25,1.09,0.08,0.56,78.03,2.14,3.85,5.09,332.19,4.39,2.99,0.9,0.06,0.16,0.4,0.15,9.47,7.19,1.29,8.65,0,0.3,22.29,0,1.52,0.4
"Jarrod Berry","Brisbane Lions",74,"Midfield",8.55,8.61,17.16,73.77,0.46,0.38,0,4.07,1.04,2.89,2.65,2.38,1.31,1.05,7.45,10.15,0.03,0.15,0.51,1.46,0.09,0.69,76.95,1.07,1.57,4.82,245.51,2.93,2.14,0.61,0.01,0.11,0.45,0.08,7.93,5.61,1,5.26,0,0.35,18.01,0,1.01,0.8
"Mitch Robinson","Brisbane Lions",68,"Midfield",11.71,7.31,19.01,69.29,0.62,0.35,0,4.04,1.81,3.88,2.78,3.03,1.24,1.13,7.65,11.31,0.09,0.46,0.46,1.78,0.07,0.44,79.88,0.82,1.96,4.51,358.4,4.06,3.25,0.68,0.09,0.29,0.4,0.19,6.56,7.54,0.69,5.19,0,0.71,14.69,0,1.15,1.07
"Hugh McCluggage","Brisbane Lions",82,"Forward",11.35,7.84,19.2,66.98,0.6,0.72,0,2.93,1.65,3.1,2.16,2.45,0.85,0.54,6.91,12.5,0.07,0.11,0.46,0.89,0.26,0.59,81.45,0.44,1.74,5.29,316.79,3.61,2.51,0.48,0.04,0.1,0.41,0.07,7.43,6.67,1.3,5.26,0,0.2,16.56,0,1.1,0.44
"Eric Hipwood","Brisbane Lions",84,"Forward",7.49,2.33,9.82,58.52,1.5,1.08,0.12,1.29,0.11,2.26,0.08,2.82,0.8,1,4.01,5.69,0.17,1.06,1.71,1.52,0.12,0.49,85.8,0.01,0.07,4.7,209.62,3.06,0.89,0.67,0.01,0.1,3.17,0.86,1.31,4.06,0.9,2.05,0.01,0.13,7.32,0.54,0.26,1.13
"Cameron Ellis-Yolmen","Brisbane Lions",34,"Midfield",8.35,10.32,18.68,69.12,0.32,0.21,0.06,4.68,0.97,2.24,4.47,2.38,0.62,0.71,10.12,8.44,0.06,0.26,0.29,1.53,0.06,0.29,72.79,1.62,2.85,4.21,207.74,3.32,1.91,0.71,0.03,0.21,0.5,0.15,9.65,5,1.29,7.97,0,0.15,20.71,0.47,1.09,0.65
"Oscar McInerney","Brisbane Lions",56,"Forward",4.36,4.09,8.45,63,0.54,0.34,15.64,2.66,0.7,1.2,1.82,1.93,0.79,0.89,5.82,2.88,0,1.39,0.75,3.02,0,0.2,77.59,0.59,1.23,3.43,99.52,1.82,1.25,0.64,0.11,0.45,2.04,0.57,3.77,2.16,0.59,2.91,4.39,0.5,9.75,35.52,1.64,2.43
"Cam Rayner","Brisbane Lions",63,"Forward",5.92,5.08,11,68.76,0.9,0.73,0,2.51,0.49,2.14,1.16,1.92,0.89,0.67,4.92,6.33,0.05,0.51,0.84,0.86,0.16,0.41,77.94,0.44,0.71,4.24,187.51,2.29,1.19,0.67,0.02,0.05,1.08,0.22,4.29,3.54,0.98,2.98,0,0.06,12.63,0,0.67,0.32
"Darcy Byrne-Jones","Port Adelaide",85,"Defender",12.01,6.24,18.25,70.61,0.04,0.12,0,2.72,2.34,2.28,1.49,2.29,0.86,0.44,6.46,11.78,0.06,0.21,0.08,2.11,0.31,0.18,83.8,0.34,1.14,2.96,273.21,3.53,5.79,0.13,0.34,0.99,0.07,0.01,9.67,7.74,0.16,5.07,0,1.02,14.85,0,1.08,1.51
