"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Scott Lycett","Port Adelaide",59,"Ruck",6.51,6.59,13.1,68.78,0.31,0.31,22.63,2.97,0.95,2.39,3.25,2.86,1.8,1.49,8.27,5.39,0.05,0.47,0.36,3.71,0.08,0.22,78.31,1.1,2.15,4.05,193.61,2.76,2.39,0.46,0.2,0.93,0.88,0.22,4.83,3.46,0.54,4.46,6.39,0.56,11.95,49.25,2.22,3.02
"Connor Rozee","Port Adelaide",38,"Forward",7.21,7.05,14.26,67.18,1,0.82,0,3.68,0.21,2.68,0.97,2.13,0.79,0.71,6.13,8.63,0.11,0.21,0.82,1.66,0.11,0.39,82.5,0.16,0.82,4.97,191.76,2.82,1.58,1.26,0,0,1.34,0.21,4.26,3.97,1.66,4.45,0,0.16,16.21,0,0.74,0.47
"Sam Powell-Pepper","Port Adelaide",76,"Midfield",8.28,9.07,17.34,66.12,0.5,0.75,0,5,0.71,3.63,2.96,3.8,0.82,1.67,8.11,9.82,0.07,0.22,0.39,1.29,0.39,0.29,73.92,1.14,1.83,4.25,275.16,3.53,2.08,0.86,0,0.08,0.49,0.13,8.32,4.38,1.01,5.83,0,0.17,19.67,0,0.91,0.28
"Ryan Burton","Port Adelaide",67,"Defender",12.04,6.33,18.37,74.81,0.12,0.16,0,2.06,3.25,2.07,0.55,2.57,0.39,0.79,4.9,12.18,0.03,0.33,0.06,2.75,0.37,0.13,77.33,0.13,0.43,3.24,317.69,3.66,5.09,0.07,0.67,1.7,0.09,0,7.42,8.73,0.12,3.97,0,0.99,11.18,0,1.12,2.19
"Tom Clurey","Port Adelaide",81,"Defender",8.86,2.96,11.83,81.63,0,0,0,1.43,2.94,0.74,0.07,1.51,0.41,0.67,3.67,7.84,0,0.73,0,5.99,0.26,0.06,91.79,0.01,0.06,1.6,185.51,1.75,5.32,0,0.86,3.63,0,0,4.6,7.16,0,2.4,0,1.89,5.51,0,0.64,5.44
"Travis Boak","Port Adelaide",84,"Midfield",11.76,12.63,24.39,67.65,0.67,0.56,0.01,4.37,1.08,3.83,4.3,3.21,0.79,0.82,10.5,13.85,0.33,0.17,0.49,0.9,0.06,0.61,80.29,1.37,2.93,5.74,314.31,4.52,2.56,0.93,0.01,0.07,0.4,0.15,8.23,6.44,1.77,7.87,0,0.14,19.8,0.06,1.2,0.3
"Karl Amon","Port Adelaide",56,"Midfield",10.46,7.29,17.75,71.93,0.38,0.43,0,2.7,1.77,2.98,1.77,2.48,0.57,0.71,5.55,12.52,0.02,0.14,0.27,1.07,0.29,0.48,78.04,0.23,1.55,4.2,326.11,3.46,2.73,0.38,0.11,0.38,0.27,0.09,6.57,6.77,0.55,4.2,0,0.23,14,0,0.79,0.54
"Levi Greenwood","Collingwood",55,"Defender",8.82,5.47,14.29,68.55,0.16,0.44,0,3.05,1.25,1.85,0.78,2.24,0.87,0.67,4.47,10.05,0,0.44,0.33,2.09,0.18,0.18,77.67,0.35,0.44,2.93,195.22,2.85,3.05,0.36,0.33,0.65,0.25,0.09,6.02,5.51,0.38,3.05,0,0.85,11.22,0,0.67,1.53
"Brodie Grundy","Collingwood",89,"Ruck",8.02,10.82,18.84,70.34,0.26,0.3,37.87,4.31,1.09,2.13,4.78,3.54,1.99,1.62,11.38,7.94,0.47,1.1,0.19,2.51,0.19,0.27,87.12,1.38,3.39,5.54,172.24,2.88,2.56,0.53,0.13,0.61,1.34,0.57,5.74,4.64,0.78,6.33,10.81,0.62,12.38,70.1,3.21,2.08
"Will Hoskin-Elliott","Collingwood",85,"Forward",9.31,5.12,14.42,72.45,1.06,0.45,0.01,1.94,0.64,2.51,0.54,1.47,0.56,0.33,4.67,10.04,0.08,0.56,1.14,1.66,0.2,0.6,83.19,0.12,0.42,4.67,228.84,2.41,2.07,0.47,0.04,0.13,1.11,0.31,3.29,6.26,0.86,3.2,0,0.38,10.52,0,0.6,1.07
"Brayden Maynard","Collingwood",87,"Defender",12.26,5.94,18.21,76.03,0.1,0.14,0,3.45,3.51,2.41,0.62,2.69,0.85,0.85,5.45,11.93,0.01,0.32,0.01,2.89,0.21,0.23,85.22,0.17,0.45,3.18,359.7,3.9,5.07,0.03,0.36,1.57,0.02,0,9,9.03,0.05,3.77,0,0.9,13.43,0,0.98,1.82
"Adam Treloar","Collingwood",72,"Midfield",13.15,17.24,30.39,68.15,0.5,0.47,0.01,5.06,1.28,4.29,5.42,3.82,0.86,0.99,12.1,17.65,0.51,0.06,0.28,0.67,1.36,0.62,79.35,1.79,3.67,6.38,343.62,4.82,2.56,0.62,0,0.04,0.12,0.04,7.72,6.76,1.14,8.65,0.01,0.12,17.83,0.04,1.22,0.12
"Josh Daicos","Collingwood",35,"Defender",8.74,7.66,16.4,72.14,0.49,0.23,0,2.97,1.2,1.91,1.51,2.09,1.11,0.51,5.26,11.26,0,0.11,0.31,0.57,0.14,0.23,78.89,0.23,1.29,3.11,236.89,3.4,2.14,0.49,0,0.09,0.14,0,5.57,5.29,0.6,3.69,0,0.17,13.49,0,0.57,0.29
"Jordan De Goey","Collingwood",62,"Forward",10.66,5.84,16.5,65.23,1.77,1.03,0.02,2.29,0.44,3.34,1.98,2.34,0.81,0.68,6.87,9.68,0.34,0.61,1.56,0.94,0.35,0.69,81.27,0.94,1.05,6.34,292.94,3.37,1.32,0.76,0.02,0.06,2.19,0.79,3.27,6.27,1.42,4.05,0,0.1,11.08,0.02,0.81,0.4
"Jack Crisp","Collingwood",91,"Defender",12.65,9.89,22.54,73.96,0.15,0.19,0,3.47,2.57,2.99,1.65,2.84,0.79,0.64,7.36,15.36,0.01,0.32,0.05,2.55,0.63,0.38,87.37,0.27,1.37,4.24,354.42,3.98,5.84,0.27,0.15,0.75,0.07,0.01,10.13,8.29,0.19,5.45,0,1.3,16.53,0,1.35,1.81
"Darcy Moore","Collingwood",63,"Defender",7.84,4.4,12.24,77.49,0.44,0.32,1.05,1.4,2.78,1.54,0.24,2.22,0.73,0.86,5.14,6.27,0.02,1.35,0.68,5.21,0.17,0.16,81.21,0.13,0.11,2.68,207.11,2.87,4.6,0.37,0.49,2.24,1.05,0.3,3.54,5.71,0.27,2.81,0.29,1.56,6.92,3.14,0.67,4.65
"John Noble","Collingwood",22,"Defender",9.82,7,16.82,73.23,0.09,0.05,0,1.82,2.32,1.45,0.32,2.73,0.68,0.64,3.59,13.14,0,0.09,0.05,0.86,0.18,0.05,79.55,0.05,0.27,2,229.27,3.55,3.82,0.05,0.23,0.41,0,0,6.68,6.59,0.05,3,0,0.68,9.86,0,0.5,0.55
"Jordan Roughead","Collingwood",66,"Defender",6.24,4.86,11.11,78.42,0.17,0.12,6.2,2.17,1.77,1.09,0.92,1.64,0.79,0.68,4.3,6.68,0,0.67,0.3,5.39,0.03,0.14,86.71,0.38,0.53,2.15,133.47,1.95,3.47,0.41,0.45,2.12,0.65,0.08,4.86,4.47,0.26,2.53,1.59,1.17,8.52,16.15,1,4.7
"Scott Pendlebury","Collingwood",80,"Midfield",12.89,13.72,26.61,74.03,0.34,0.28,0.06,5.09,1.41,4.42,4.78,2.67,1.23,0.41,10.41,16.41,0.55,0.12,0.08,2.08,0.2,0.74,82.14,1.68,3.1,6.12,364.88,3.91,3.15,0.6,0.06,0.28,0.22,0.05,10.53,8.22,0.62,6.39,0,0.35,21.07,0.2,1.48,0.8
"Josh Thomas","Collingwood",71,"Forward",7.31,7.38,14.69,69.58,0.99,0.46,0,2.62,0.31,2.54,1.24,2.07,0.61,0.66,5.89,9.23,0.04,0.08,0.65,0.83,0.14,0.49,77.97,0.42,0.83,5.1,184.66,2.46,1.13,0.79,0,0,0.41,0.15,4.93,4.27,1.62,4.68,0,0.04,16.27,0,0.54,0.14
"Jaidyn Stephenson","Collingwood",54,"Forward",8.3,4.13,12.43,67.04,1.41,0.87,0,2.39,0.56,2.11,0.19,1.8,0.57,0.56,3.85,8.72,0.06,0.41,1.54,1.06,0.28,0.57,82.02,0.06,0.13,4.98,221.5,2.69,1.33,1.04,0,0.04,1.44,0.35,2.78,4.93,1.56,2.83,0,0.15,13.31,0,0.46,0.76
"Jamie Elliott","Collingwood",51,"Forward",8.78,4.1,12.88,64.04,1.37,0.86,0,2.59,0.06,2.51,1.06,2.1,0.63,0.61,4.55,8.25,0.12,0.57,1.59,1.16,0.59,0.55,77.08,0.47,0.59,4.96,202.84,2.8,0.76,1.25,0.02,0.04,1.51,0.35,2.65,4.9,1.45,2.9,0,0.06,12.25,0,0.59,0.55
"Brody Mihocek","Collingwood",58,"Forward",7.76,3.59,11.34,69.14,1.55,0.91,0.05,1.98,0.26,2.71,0.19,2.38,0.95,0.9,5.22,6.26,0.07,1.29,1.52,1.57,0.05,0.43,86.91,0,0.19,4.74,236.95,3.02,1.28,0.83,0,0.07,4.52,1.17,2.4,4.84,1.07,2.84,0,0.29,9.83,0.1,0.43,1.09
"Chris Mayne","Collingwood",59,"Midfield",8.46,8.54,17,81.2,0.19,0.29,0,3.25,1.17,0.97,1.2,1.54,0.8,0.44,5.27,11.12,0,0.27,0.37,1.8,0.07,0.2,81.63,0.25,0.95,3.25,134.86,1.69,3.56,0.44,0.07,0.42,0.36,0.08,7.46,6.22,0.46,3.56,0,0.69,14.92,0,0.78,0.9
"Mason Cox","Collingwood",58,"Forward",5.21,3.47,8.67,70,1.17,0.5,6.86,1.34,0.28,0.88,0.62,2.12,1.34,0.74,5.52,3.19,0.05,2.17,1.55,2.88,0.05,0.17,83.74,0.24,0.38,3.83,128.22,2.4,0.88,0.4,0.02,0.12,4.43,1.45,2.6,2.93,0.6,1.53,1.76,0.34,9.1,12.98,0.71,1.93
"Taylor Adams","Collingwood",76,"Midfield",14.16,12.05,26.21,67.55,0.42,0.32,0,5.58,1.45,3.97,5.68,4.18,1.51,1.47,11.62,14.79,0.26,0.13,0.29,1.24,0.47,0.63,77.72,2.3,3.36,6.08,353.55,4.37,2.76,0.57,0.03,0.05,0.17,0.05,8.89,8.01,0.68,6.95,0,0.24,19.7,0,1.75,0.24
"Jack Lonie","St Kilda",49,"Forward",8.39,4.39,12.78,63.88,0.96,1.02,0,2.71,0.45,2.1,0.71,2.06,1.27,0.63,4.78,8.22,0.08,0.08,0.92,0.88,0.06,0.53,78.47,0.14,0.59,5.06,202.67,2.55,1.43,1.51,0,0,0.65,0.1,3.63,4.84,1.55,3.53,0,0.14,16.08,0,0.92,0.45
"Hunter Clark","St Kilda",47,"Midfield",9.83,7.79,17.62,72.45,0.13,0.19,0,2.79,2.13,1.7,1.38,2.64,0.62,0.98,5.57,12.23,0,0.15,0.06,1.21,0.06,0.21,77,0.38,1,3.06,232.77,3.81,3.72,0.26,0.19,0.55,0.09,0,7.17,6.26,0.47,4.62,0,0.62,12.81,0,0.68,0.98
"Nick Coffield","St Kilda",36,"Defender",9.64,5.39,15.03,82.86,0.03,0,0,1.14,2.67,0.94,0.28,1.67,0.33,0.58,3.89,11.06,0,0.42,0.03,1.81,0.03,0,81.17,0.03,0.25,2.19,197.31,2.25,5.03,0,0.39,1.22,0.06,0.03,5.75,7.44,0.03,2.92,0,1.81,7.92,0.03,0.75,1.53
"Zak Jones","St Kilda",75,"Midfield",10.99,9.17,20.16,73.19,0.32,0.32,0,3.16,2.45,3.09,2.24,3.25,0.84,1.2,6.69,13.8,0.03,0.17,0.21,1.61,0.67,0.45,81.52,0.76,1.45,4.32,339.63,3.96,2.75,0.27,0.12,0.45,0.19,0.08,8,7.31,0.59,5.05,0,0.48,14.57,0,0.83,1.24
"Dan Hannebery","St Kilda",51,"Midfield",9.9,11.98,21.88,68.63,0.33,0.18,0,3.73,1.43,2.94,2.96,2.78,0.71,0.92,8.27,13.63,0.14,0.1,0.29,0.57,0.06,0.39,75.82,0.84,2.12,4.2,267.47,3.98,2.67,0.55,0.1,0.2,0.25,0.06,7.39,5.78,0.76,6.43,0,0.37,15.59,0,1.02,0.25
"Dean Kent","St Kilda",39,"Forward",7.92,3.77,11.69,65.46,0.92,0.72,0,2.08,0.41,2.54,0.33,2.23,0.79,0.54,4.31,7.38,0,0.21,1.08,0.92,0.18,0.64,73.33,0.08,0.26,4.64,215.87,2.64,1.23,0.9,0.03,0.08,1.15,0.33,2.82,4.79,1.23,3.15,0,0.08,11.97,0.13,0.59,0.49
"Rowan Marshall","St Kilda",52,"Ruck",9.23,6.06,15.29,68.77,0.52,0.5,18.54,2.69,0.77,2.87,3.25,2.92,1.52,1.46,8.9,6.87,0.13,1.25,0.75,2.31,0,0.27,84.87,1.1,2.15,4.21,228.5,2.71,2.69,0.38,0.35,0.77,1.9,0.46,4.52,5.85,0.52,4.5,5,1.06,10.54,43.85,1.85,1.77
"Bradley Hill","St Kilda",73,"Midfield",15.11,6.4,21.51,68.55,0.32,0.37,0,2.05,2.34,3.78,1.26,2.85,0.29,0.59,3.92,17.14,0.12,0.04,0.29,0.77,1.03,0.49,84.42,0.23,1.03,4.89,424.44,4.44,1.88,0.19,0.1,0.21,0.29,0.11,7.51,9.36,0.4,3.21,0,0.16,15.56,0.01,0.52,0.25
"Jarryn Geary","St Kilda",63,"Defender",7.97,8.14,16.11,78.41,0.14,0.05,0,2.3,2.17,1.16,0.78,1.84,0.54,0.62,5.65,10.49,0.02,0.4,0.16,2.6,0.24,0.14,82.22,0.19,0.59,2.44,189.68,2.6,5.05,0.24,0.32,0.92,0.22,0.08,7.35,5.48,0.17,4.1,0,0.83,11.48,0,0.63,1.59
"Dougal Howard","St Kilda",58,"Defender",8.17,2.93,11.1,78.95,0.21,0.12,0.95,1.31,2.74,0.79,0.22,2.07,0.59,0.84,4.1,6.53,0,0.71,0.19,9.12,0,0.07,89.14,0.03,0.19,1.98,186.34,1.9,5.09,0.05,0.72,2.45,0.41,0.07,4.1,6.21,0.09,2.52,0.24,1.83,5.62,3.45,0.81,8.36
"Callum Wilkie","St Kilda",41,"Defender",9.73,4.02,13.76,84.12,0,0,0.02,1.56,3.54,0.68,0.2,1.76,0.46,0.85,4.37,7.54,0,0.8,0,3.63,0.05,0.02,88.61,0,0.2,1.51,220.2,2.27,5.2,0,0.46,2.51,0,0,5.93,8.05,0.02,3.05,0,1.61,6.95,0.41,0.49,3.12
"Jack Steele","St Kilda",80,"Midfield",9.47,12.89,22.36,75.03,0.34,0.22,0.04,7.08,1.45,2.69,4.1,2.92,1.06,1.18,10.31,12.51,0.06,0.4,0.32,1.66,0.06,0.44,81.11,1.48,2.61,4.79,241.47,3.45,3.01,0.91,0.1,0.22,0.25,0.11,11.44,5.99,0.72,7.15,0,0.46,24.43,0.14,1.23,0.61
"Shane Savage","St Kilda",54,"Defender",13.54,7.15,20.69,81.37,0.19,0.24,0,2.24,3.61,2.91,0.5,1.85,0.46,0.44,4.43,15.46,0,0.39,0.06,2.41,0.96,0.22,86.48,0.09,0.41,3.7,404.15,3.93,4.39,0,0.26,1.06,0.02,0.02,6.93,10.69,0.04,3.31,0,1.07,10.09,0,0.89,1.87
"Sebastian Ross","St Kilda",81,"Midfield",13.88,12.64,26.52,72.26,0.2,0.32,0.01,3.85,2.06,3.99,4.21,3,0.53,0.91,8.78,17.72,0.4,0.09,0.1,1.41,0.57,0.52,84.06,1.86,2.37,6,377.37,4.35,2.8,0.43,0.05,0.22,0.09,0.01,8.83,8.32,0.53,6.35,0.01,0.25,17.31,0.02,1.43,0.49
"Josh Battle","St Kilda",40,"Defender",8.7,3.4,12.1,73.03,0.57,0.35,0.25,2.27,2.05,1.02,0.22,1.85,0.78,0.82,3.7,7.78,0,0.6,0.5,2.05,0.28,0.15,73.3,0.02,0.2,2.25,188.53,2.25,3.58,0.3,0.22,0.85,0.9,0.32,5.47,6.55,0.35,2.15,0,1.15,9.22,0.95,0.6,1.48
"Jack Billings","St Kilda",84,"Midfield",11.95,10.49,22.44,69.11,0.73,0.85,0,2.86,1.56,3.63,1.51,2.45,0.69,0.37,6.81,15.64,0.29,0.37,0.79,1.15,0.18,0.71,86.49,0.27,1.23,5.77,321.24,4.15,2.48,0.75,0.02,0.14,0.55,0.14,5.75,7.38,1.35,5.35,0,0.43,14.65,0,0.95,0.76
"Dan Butler","St Kilda",64,"Forward",7.34,3.64,10.98,63.44,1.28,0.62,0,3.66,0.31,2.75,0.33,2,0.84,0.91,4.03,6.75,0,0.16,0.77,0.47,0.55,0.69,82.5,0.08,0.25,4.53,215.58,2.47,1.47,1.56,0.02,0.02,0.69,0.14,4.14,4.25,1.11,2.97,0,0.08,17.38,0,0.5,0.17
"Jack Sinclair","St Kilda",71,"Forward",9.23,8.92,18.14,72.8,0.25,0.41,0,3.3,1.49,2.87,2.18,1.96,0.63,0.48,7.56,10.9,0,0.15,0.24,1.52,0.72,0.66,82.21,0.41,1.76,4.79,267.3,2.92,3.25,0.56,0.23,0.35,0.35,0.06,7.85,5.55,1.1,5.92,0,0.37,17.94,0,1.2,0.59
"Tim Membrey","St Kilda",80,"Forward",8.25,3.95,12.2,72.42,1.7,0.85,0.06,1.46,0.06,2.06,0.11,1.36,0.72,0.39,4.99,7.4,0.1,1.34,2.25,2.01,0.08,0.36,87.59,0.04,0.08,5.49,208.03,2.27,1.2,0.68,0,0.04,3.04,0.84,2,5.64,1.19,2.74,0.04,0.34,8.93,0.38,0.49,1.54
"Ben Paton","St Kilda",35,"Defender",7.8,5.46,13.26,76.83,0.11,0.06,0,1.71,2.4,1.03,0.26,1.63,0.74,0.51,4.2,8.8,0,0.29,0.09,1.31,0.4,0.06,77.46,0.03,0.23,1.8,173.8,2.31,3.86,0.06,0.4,0.97,0.11,0,5.4,5.6,0.17,3.09,0,0.94,7.89,0,0.43,1.09
"Oscar Allen","West Coast",38,"Forward",6.13,3.5,9.63,71.61,1,0.53,3.29,2.74,0.55,1.66,0.89,1.53,1.55,0.63,5.13,4.89,0,0.92,0.89,3.03,0.11,0.53,76.79,0.32,0.58,4.24,161.32,1.5,1.82,0.63,0.18,0.53,1.87,0.32,4.45,4.13,0.66,2.42,0.53,0.45,12.16,11.87,0.95,2.18
"Tom Barrass","West Coast",70,"Defender",9.03,2.96,11.99,85.37,0,0.01,0.27,0.73,3.07,0.57,0.13,1.14,0.86,0.43,4.3,7.63,0,1.34,0.01,7.94,0.01,0.06,87.26,0,0.13,1.49,162.33,1.77,5.94,0,0.89,3.4,0.09,0.01,4.29,7.53,0.01,2,0.09,2.63,5.03,0.44,0.71,7.29
"Brad Sheppard","West Coast",89,"Defender",10.78,5.84,16.62,81.82,0.03,0.03,0,2.19,3.29,1.22,0.3,1.67,0.78,0.47,3.81,12.47,0.01,0.31,0.03,3.67,0.11,0.18,89.17,0.06,0.25,2.37,246.72,3,4.61,0.02,0.46,1.64,0.06,0.01,7.44,8.73,0.02,2.7,0,1.22,9.82,0,0.64,3.27
"Jackson Nelson","West Coast",51,"Defender",8.55,3.65,12.2,78.33,0,0.08,0,1.65,2.29,1.04,0.57,1.57,0.49,0.65,3.51,8.57,0,0.16,0.04,1.86,0.27,0.06,82.02,0.12,0.45,1.71,205.18,2.61,3.12,0,0.31,1.16,0.04,0.02,7.45,6.22,0.06,2.57,0,0.45,10.86,0,0.55,1.16
"Jack Darling","West Coast",86,"Forward",7.99,3.74,11.73,63.73,2.09,0.95,0.42,2.51,0.07,2.05,0.29,2.26,1.16,0.92,6.71,5.24,0.24,1.95,2.17,2.37,0,0.77,90.48,0.02,0.27,5.87,209.03,2.94,0.91,1.24,0.02,0.07,4.58,1.37,2.99,4.83,1.57,2.93,0.1,0.17,12.17,2.15,0.55,1.51
"Jake Waterman","West Coast",39,"Forward",7.9,3.33,11.23,74.1,0.95,0.49,0,1.21,0.49,1.82,0.26,1.33,0.69,0.33,3.23,7.72,0,0.46,1,0.79,0,0.49,77.77,0.1,0.15,3.82,179.18,1.95,1.18,0.41,0,0.05,1.15,0.26,3.15,5.46,0.64,2.03,0,0.36,9.62,0,0.28,0.41
"Jack Redden","West Coast",80,"Midfield",11.09,10.78,21.86,71.95,0.19,0.12,0,4.71,1.66,2.27,3.84,2.95,1.19,1.1,9.07,13.21,0.12,0.12,0.2,1.61,0.1,0.34,81.6,1.43,2.41,4.4,246.21,3.52,2.84,0.42,0.08,0.14,0.14,0.05,9.49,6.67,0.54,5.99,0.01,0.38,20.1,0,1.23,0.49
"Dom Sheed","West Coast",80,"Midfield",12.74,10.41,23.15,68.8,0.54,0.48,0,2.06,1.45,3.8,4.47,3.14,0.86,0.84,10.01,13.71,0.21,0.11,0.29,0.86,0.48,0.32,78.36,1.48,3.02,5.15,340.84,4.3,2.27,0.26,0.05,0.15,0.36,0.01,5.6,7.28,0.88,6.29,0,0.21,13.24,0.05,1.09,0.29
"Liam Ryan","West Coast",55,"Forward",8.44,2.93,11.36,58.51,1.38,0.91,0,1.96,0.2,2.53,0.56,2.29,0.95,0.56,5.84,5.53,0,0.93,1.35,1.11,0.55,0.71,80.47,0.13,0.44,5.25,220.75,2.82,1.45,0.76,0.04,0.04,1.31,0.38,3.71,4.45,1.44,3.69,0,0.16,13.13,0,0.6,0.47
"Jack Petruccelle","West Coast",29,"Forward",5.93,3.07,9,68.76,0.86,0.69,0,1.66,0.41,2.14,0.59,1.72,0.34,0.59,3.45,5.83,0.03,0.24,0.45,0.76,0.41,0.45,74.59,0.03,0.55,3.14,184.72,1.69,1.14,0.38,0.03,0.07,0.83,0.17,4.31,3.66,0.66,2.59,0,0.03,14.21,0,0.34,0.41
"Nic Naitanui","West Coast",37,"Ruck",6.16,5.11,11.27,64.35,0.3,0.3,29.73,3.27,0.51,2.95,4.92,2.27,1.41,1.16,9.16,2.57,0,0.73,0.11,3.84,0.05,0.46,62.81,2.22,2.7,3.95,174.78,2.38,1.65,0.49,0.03,0.59,0.97,0.41,4.84,2.92,0.95,4.62,8.57,0.38,13.08,49.89,2.54,2.73
"Jeremy McGovern","West Coast",83,"Defender",10.61,4.53,15.14,78.84,0.2,0.2,0.75,1.49,3.3,1.34,0.28,1.99,1.06,0.69,7.2,8.2,0.11,2.34,0.28,5.92,0.1,0.22,83.24,0.01,0.27,2.95,228.73,2.77,8.14,0.13,0.63,3.19,0.59,0.2,5.8,8.01,0.14,3.39,0.33,3.48,8.14,1.65,1.39,4.86
"Josh J. Kennedy","West Coast",72,"Forward",7.1,2.38,9.47,63.1,2.71,1.53,0.11,1.53,0.01,1.17,0.07,1.93,1.04,0.92,4.79,4.93,0.28,1.44,3.08,1.21,0,0.38,84.82,0,0.07,5.97,196.54,2.19,0.72,0.93,0.01,0.01,3.32,1.07,1.33,4.26,1.33,2.06,0.07,0.07,6.94,0.32,0.36,0.79
"Tim Kelly","West Coast",66,"Midfield",13.12,9.92,23.05,63.48,0.8,0.58,0,3.97,1.56,4.17,4.82,3.8,0.94,0.92,10.47,13.08,0.56,0.08,0.32,0.85,0.38,0.71,84.21,1.7,3.12,5.67,396.18,5.14,2.11,0.55,0.02,0.05,0.3,0.06,9.55,7.15,1.35,7.82,0,0.17,21.33,0,1.11,0.2
"Shannon Hurn","West Coast",86,"Defender",15.27,5.07,20.34,85.97,0.01,0.07,0,1.69,4.83,1.57,0.38,1.72,0.57,0.62,4.8,12.28,0.19,0.66,0.01,2.77,0.29,0.17,85.13,0.1,0.28,3.06,374,3.36,6.76,0.02,0.44,1.93,0.02,0,5.88,12.81,0.02,3.17,0,2.23,8.12,0,1.52,2.06
"Andrew Gaff","West Coast",83,"Midfield",17.36,11.98,29.34,73.49,0.31,0.18,0,2.4,2.2,3.69,3,2.95,0.95,0.58,8.02,21.02,0.46,0.11,0.31,0.77,0.51,0.58,89.71,0.65,2.35,5.25,403.87,5.07,3.75,0.19,0.11,0.3,0.06,0,8.47,11.04,0.7,5.92,0,0.52,15.96,0,0.99,0.31
"Liam Duggan","West Coast",76,"Defender",11.41,5.17,16.58,73.96,0.08,0.11,0,2.03,2.78,1.99,0.8,2.2,0.55,0.57,4.87,11.87,0.03,0.18,0.07,2.47,0.26,0.21,83.29,0.21,0.58,2.74,305.8,3.59,4.62,0.12,0.24,0.68,0.05,0,8.25,7.86,0.16,3.75,0,0.86,13.32,0,0.86,1.79
"Luke Shuey","West Coast",80,"Midfield",14.03,10.65,24.68,69.3,0.32,0.21,0,5.06,1.71,4.58,6.03,3.7,1.46,1.46,10.62,14.19,0.39,0.01,0.12,1.96,0.62,0.59,78.28,2.34,3.7,5.44,379.93,4.75,2.51,0.57,0.01,0.08,0.18,0.02,9.91,8,0.68,6.09,0,0.25,20.68,0,1.39,0.32
"Jamie Cripps","West Coast",79,"Forward",8.49,5.53,14.03,66.52,1.3,0.71,0,3.61,0.46,3.06,1.09,2.2,0.77,0.66,5.3,9,0.06,0.15,0.82,0.9,0.54,0.73,82.8,0.19,0.89,5.47,247.85,2.77,1.44,1.72,0.01,0.04,0.73,0.15,4.32,5.04,1.58,3.94,0,0.09,17.03,0.01,0.77,0.23
"Tom Cole","West Coast",54,"Defender",6.85,4.72,11.57,81.48,0.06,0.02,0,2.56,2.06,0.8,0.39,1.56,0.98,0.74,4.65,7.31,0,0.2,0.07,2.56,0.11,0.07,83.07,0.06,0.33,1.91,142.7,1.7,4.93,0.04,0.37,1.26,0.04,0.02,8.85,5.26,0.02,3,0,0.83,12.46,0,0.78,1.8
"Brendon Ah Chee","West Coast",30,"Forward",5.93,6,11.93,68,0.53,0.37,0,2.03,0.57,1.6,0.97,1.7,0.63,0.4,6.27,6.27,0,0.57,0.5,1.47,0.03,0.37,74.77,0.23,0.73,3.5,156.73,2.57,1.83,0.53,0.07,0.1,0.97,0.4,4.77,3.37,1.23,4.37,0,0.17,12.93,0,0.8,0.77
"Ben Long","St Kilda",45,"Forward",5.87,5.07,10.93,71.8,0.47,0.36,0,2.58,0.69,1.82,0.64,2.42,0.76,1.09,5.38,6.4,0,0.36,0.4,2.4,0.24,0.2,79.89,0.29,0.36,3.18,150.98,2.31,3.2,0.84,0.07,0.27,0.69,0.2,5.18,3.87,0.69,3.22,0,0.53,13.04,0.04,0.78,0.89
"Paddy Ryder","St Kilda",69,"Ruck",6.3,4.01,10.32,66.9,0.67,0.38,28.9,2.55,0.41,2.38,2.93,2.22,1.35,1.33,7.33,3.29,0.09,1.35,0.86,3.58,0.03,0.41,79.49,1.49,1.43,5.06,156.67,1.86,1.75,0.39,0.13,0.83,1.33,0.55,4.42,3.45,0.58,3.81,9.36,0.68,11,53.26,2.8,2.65
"Jake Carlisle","St Kilda",62,"Defender",9.03,4.87,13.9,78.98,0.11,0.08,0.68,1.23,2.26,0.73,0.15,1.61,0.56,0.47,5,8.32,0.03,1.31,0.06,4.35,0.1,0.03,90.63,0.02,0.13,2.26,157.9,2.21,6.45,0.1,0.66,2.89,0.21,0.13,4.77,6.85,0.11,2.85,0.19,2.74,6.82,1.5,1.03,3.74
"Bailey Smith","Western Bulldogs",41,"Midfield",9.12,10.1,19.22,73.95,0.41,0.46,0,3.37,1,3.12,2.85,1.88,0.39,0.63,7.22,12.39,0,0.02,0.1,0.59,0.24,0.49,75.27,0.85,2,4.9,254.37,3.05,1.9,0.49,0.07,0.12,0.32,0.02,7.15,5.49,1.17,6.22,0,0.05,15.88,0,1.24,0.22
