"season","round","date","Home_team","Away_team","home_score","away_score","WinningTeam","margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff","Winner"
2017,"Round 6",2017-04-29,"West Coast","Fremantle",103,62,"West Coast",41,1,-1,-7,4,7,21,89,-0.100000000000009,-7,7,6,22,1,8,67,53,734,6,2,5,38,-8,73,2,"HOME"
2017,"Round 6",2017-04-30,"Adelaide","Richmond",140,64,"Adelaide",76,-5,3,-6,8,11,26,127,4.90000000000001,-6,6,5,54,10,9,73,67,1227,-17,4,5,104,-7,110,-10,"HOME"
2017,"Round 7",2017-05-05,"St Kilda","GWS",108,85,"St Kilda",23,6,3,-15,11,4,12,-2,-4.59999999999999,-12,12,3,-24,11,2,22,10,849,-9,-3,8,-1,-2,-23,7,"HOME"
2017,"Round 7",2017-05-06,"North Melbourne","Adelaide",145,86,"North Melbourne",59,1,12,-11,13,-5,-7,-1,4.69999999999999,-7,7,8,-24,23,2,23,8,1054,-2,-12,1,27,-1,2,18,"HOME"
2017,"Round 7",2017-05-06,"Gold Coast","Geelong",124,99,"Gold Coast",25,2,4,-8,4,5,12,67,4.3,-4,3,2,30,23,4,37,26,781,2,-17,0,55,-3,61,5,"HOME"
2017,"Round 7",2017-05-06,"Western Bulldogs","Richmond",80,75,"Western Bulldogs",5,1,3,-6,8,-12,3,77,-3,-12,12,-2,65,15,2,12,-3,-32,13,-16,5,34,-1,74,2,"HOME"
2017,"Round 7",2017-05-07,"Sydney","Brisbane",135,81,"Sydney",54,12,1,5,-1,7,1,50,2.5,3,-3,8,38,6,11,12,5,1147,-13,5,-2,54,-11,45,1,"HOME"
2017,"Round 7",2017-05-07,"Fremantle","Essendon",116,79,"Fremantle",37,5,8,-12,13,4,20,85,2,-9,9,0,27,15,-4,58,42,881,-21,-6,5,47,5,65,-9,"HOME"
2017,"Round 8",2017-05-12,"West Coast","Western Bulldogs",69,61,"West Coast",8,-10,-3,2,-4,7,-7,7,4,3,-3,-2,-28,-3,6,35,48,122,-2,6,-1,10,-9,25,-7,"HOME"
2017,"Round 8",2017-05-13,"Hawthorn","Brisbane",113,75,"Hawthorn",38,2,3,-6,5,3,17,77,6.90000000000001,-4,4,8,20,13,-1,57,50,730,23,-7,2,40,1,67,-7,"HOME"
2017,"Round 8",2017-05-13,"St Kilda","Carlton",85,66,"St Kilda",19,2,2,12,4,-10,20,69,0.299999999999997,-1,1,3,89,22,8,-20,-24,674,9,-14,2,54,-7,65,10,"HOME"
2017,"Round 8",2017-05-13,"GWS","Collingwood",102,99,"GWS",3,5,3,-9,0,-3,6,17,-3.2,-1,1,0,14,6,7,3,-14,91,-17,-3,-3,12,-7,11,2,"HOME"
2017,"Round 8",2017-05-13,"Essendon","Geelong",110,93,"Essendon",17,3,-8,-7,-17,-6,-20,53,4.40000000000001,-11,11,9,16,-11,4,37,25,313,-4,14,-9,-4,-2,59,4,"HOME"
2017,"Round 9",2017-05-19,"Geelong","Western Bulldogs",104,81,"Geelong",23,-1,6,10,7,7,4,-8,2.5,4,-4,1,-12,6,0,4,12,378,-13,-2,1,-11,-2,-11,9,"HOME"
