"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Brad Lynch","Western Bulldogs",9,"Interchange",7.78,4.44,12.22,76.22,0.22,0.33,0,1.11,1.89,1.67,0.11,2.33,0.33,1.22,3.56,8.89,0,0,0.33,1.56,0.56,0.33,74.78,0,0.11,2.22,240.22,3.22,3.44,0,0.22,0.56,0,0,9.22,5.67,0,3.22,0,0.33,15.44,0,0.56,0.78
"Brayden Crossley","Gold Coast",10,"Forward",4.5,4.9,9.4,69.8,0.5,0.7,6,2.2,0.4,0.7,0.6,2,1.4,1.2,5,4.9,0,0.7,0.7,2.3,0,0,83.1,0.2,0.4,2.5,115.3,1.7,1.5,0.8,0,0.1,1.9,0.4,4.5,2.3,0.6,2.8,1.7,0.3,12.8,16.2,0.4,1.7
"Michael Barlow","Gold Coast",15,"Midfield",11.2,14.33,25.53,68.8,0.73,0.67,0,3.73,2,3.33,2.93,3.4,0.73,1.2,8.4,16.6,0.13,0.27,0.73,1.07,0.07,0.4,83.73,0.93,2,6,293.4,4.6,3.47,0.47,0.2,0.4,0.67,0.13,7.8,6.53,1.27,6.33,0,0.67,17.2,0,1.07,0.67
"Jack Leslie","Gold Coast",22,"Defender",6,4.18,10.18,75.64,0.05,0.14,0.45,1.45,2.5,0.77,0.23,2.5,0.45,1.45,3.5,6.82,0,0.73,0.14,7.36,0,0.05,90.64,0,0.23,1.91,142.82,2.5,4.86,0,1.14,4,0.14,0,6.09,4.36,0.05,2.09,0.05,1.82,8.55,0.86,0.82,6.5
"Brendon Goddard","Essendon",45,"Midfield",12.18,12.33,24.51,82.22,0.18,0.11,0,2.44,2.51,2.29,1.96,2.67,0.62,0.78,6.16,18.22,0.02,0.49,0.2,1.82,0.31,0.44,84.29,0.76,1.22,5.82,304.47,3.51,4.16,0.09,0.22,0.62,0.09,0.07,6.6,9.04,0.18,4.16,0,1.31,11.07,0,1.58,1.13
"Matthew Leuenberger","Essendon",9,"Ruck",4.56,6.89,11.44,70.78,0.11,0,30.78,4.33,0.67,0.89,1.89,3.11,0.67,1.56,6.56,5,0,0.33,0.22,3.67,0,0.22,78,0.67,1.22,4.44,68,2,1.89,0.56,0.11,0.78,1,0.11,5.67,1.67,0.78,4.89,7.89,0.33,11.89,65.11,2.67,3.33
"Jake Neade","Port Adelaide",15,"Forward",5.67,6.67,12.33,71.13,0.67,0.47,0,4.07,0.4,2.27,0.27,1.93,1.53,0.8,5.13,7.13,0,0.2,0.4,0.87,0.27,0.6,70.93,0.13,0.13,4.2,150.4,2.2,1.73,2,0.07,0.13,0.93,0.13,4.07,3.4,1.2,3.6,0,0,20.13,0,0.73,0.27
"Kyle Cheney","Adelaide",8,"Interchange",10.5,3.5,14,82.75,0,0,0,0.5,2.5,1.38,0.25,1.62,0.62,0.38,4.25,9.38,0,0.88,0,2.88,0.12,0.12,82,0,0.25,1.5,219.62,2.38,4.62,0,0.12,2.12,0.12,0,6.12,8.5,0,2.75,0,1.75,6.5,0,0.5,2.88
"Stefan Giro","Fremantle",10,"Forward",6.5,8.2,14.7,69.3,0.3,0.4,0,3.5,0.3,1.6,0.6,2.7,0.4,0.5,3.7,10.7,0,0,0.3,0.1,0,0.4,78.2,0.6,0,3.5,160.3,3,1.2,0.5,0,0,0.2,0,6.7,3.2,0.6,3.1,0,0,20,0,0.1,0
"Matt Dea","Essendon",18,"Defender",8.61,5.56,14.17,85.06,0.06,0,0,1.56,2.22,0.72,0.11,1.39,0.61,0.28,4.61,9.44,0,0.44,0,3.06,0.11,0.11,80.06,0,0.11,2.28,169.44,1.83,5.94,0,0.61,2.44,0,0,6.17,6.83,0.11,3.67,0,1.78,7.5,0,1,2.56
"Jarrod Pickett","Carlton",17,"Forward",5.65,3.12,8.76,63.06,0.47,0.35,0,2.41,0.24,2.06,0.76,2.24,1,0.76,4.65,4.47,0,0.18,0.71,1,1.18,0.35,73.24,0.18,0.59,2.88,160.12,2.76,1.06,0.53,0,0,1.29,0.35,4.35,3,1.24,3.35,0,0,13.18,0,0.47,0.65
"Nick Graham","Carlton",20,"Interchange",10,7.7,17.7,69.55,0.2,0.45,0,3.8,0.85,2.85,2.3,2.6,1,0.85,6.45,11.5,0,0.15,0.45,0.5,0.15,0.4,73.8,0.9,1.4,4.05,232.7,3.35,1.15,0.55,0.05,0.1,1,0.25,5.8,5.8,0.7,4.65,0,0,15.05,0,0.7,0.25
"Alex Johnson","Sydney",2,"Defender",6,3.5,9.5,49,0,0,0,2.5,1,0,0,2,1,0.5,3,7,0,0.5,0,4,0,0,48,0,0,0.5,111.5,2.5,3,0,2,4.5,0,0,5,3.5,0,2,0,1,5.5,0,0,3
"Cameron Pedersen","Melbourne",19,"Forward",7.37,7.53,14.89,76.05,1,0.47,8.42,3.37,0.89,2.74,1.32,2,0.95,1,6.53,8.68,0.21,1,1.05,2.47,0.11,0.47,84.84,0.63,0.68,5.26,236.58,2.47,2.05,1.11,0.11,0.26,2,0.37,4.42,5.26,1.21,4.11,2.16,0.47,14,29.37,1.16,2
"Nick Smith","Sydney",44,"Defender",6.8,6.61,13.41,80.66,0,0.05,0,2.18,2.64,0.55,0.32,1.57,0.91,0.55,4.43,9.14,0,0.41,0,3.41,0.11,0.09,87.5,0.02,0.3,1.84,146.27,2.07,5.07,0.02,0.5,1.77,0,0,7.36,4.7,0,3,0,1.45,9.55,0,0.61,2.41
"Sam Murray","Collingwood",13,"Defender",12.15,8.69,20.85,70.15,0,0.08,0,1.62,3.62,2.38,0.77,3.92,0.62,0.69,4.77,16.38,0,0.15,0,2.92,1,0.08,82,0.23,0.54,2.77,364.77,5.62,4.92,0,0.15,1,0,0,5.77,7.92,0,3.85,0,0.77,8.38,0,0.92,2.38
"Nathan Freeman","St Kilda",2,"Interchange",8,8.5,16.5,81.5,0.5,0.5,0,2.5,1,1.5,0.5,1,0.5,0.5,5.5,11,0,0,0,1,0,0.5,67.5,0.5,0,5,194,1,4,0.5,0.5,0.5,0,0,4.5,5,0.5,5,0,1,8,0,1,1
