Player,Position
Gary Ablett,Mid
Jeremy Cameron,Key Fwd
David Zaharakis,Mid
Sam Powell-Pepper,Mid
David Swallow,Mid
Jack Lonie,Gen Fwd
Oscar Allen,Key Fwd
Cameron Zurhaar,Gen Fwd
Zak Butters,Mid
Ben Ainsworth,Mid
Jack Graham,Mid
Jack Scrimshaw,Gen Def
Harry McKay,Key Fwd
Kyle Langford,Gen Fwd
Angus Brayshaw,Mid
Dan Hannebery,Mid
Jacob Hopper,Mid
Brad Ebert,Mid
Josh Bruce,Key Fwd
Nick Blakey,Gen Fwd
Christian Salem,Gen Def
Brandan Parfitt,Mid
Trent McKenzie,Key Def
Shannon Hurn,Gen Def
Caleb Serong,Mid
Jason Johannisen,Gen Def
Zac Smith,Ruck
Rory Thompson,Key Def
Noah Anderson,Mid
Lachie Plowman,Gen Def
Caleb Marchbank,Key Def
Shaun McKernan,Key Fwd
Jonathon Ceglar,Ruck
Neville Jetta,Gen Def
Taylor Walker,Key Fwd
Cam McCarthy,Key Fwd
Darcy Parish,Mid
Allen Christensen,Gen Fwd
Taylor Duryea,Gen Def
Kane Farrell,Gen Fwd
Nick Hind,Gen Fwd
Sam Reid,Key Fwd
Jed Bews,Gen Def
Callum Ah Chee,Gen Def
Jake Riccardi,Key Fwd
Lewis Jetta,Gen Def
Darcy Gardiner,Key Def
Kade Simpson,Gen Def
Isaac Quaynor,Gen Def
Aaron Naughton,Key Fwd
Callum Wilkie,Key Def
Riley Bonner,Gen Def
Brent Daniels,Gen Fwd
Cam Rayner,Gen Fwd
Ryan Clarke,Gen Def
Jack Silvagni,Gen Fwd
Brayden Fiorini,Mid
Shane McAdam,Gen Fwd
Mitch Brown,Key Fwd
Jacob Townsend,Gen Fwd
Ryan Lester,Gen Def
James Aish,Gen Def
Oscar McInerney,Key Fwd
Easton Wood,Gen Def
Eric Hipwood,Key Fwd
David Astbury,Key Def
Ben Long,Gen Fwd
Michael Hibberd,Gen Def
John Noble,Gen Def
Tom Clurey,Key Def
Marc Pittonet,Ruck
Harry Taylor,Key Def
Jamie Macmillan,Gen Def
Bradley Hill,Mid
Will Day,Gen Def
Brandon Ellis,Mid
Daniel Talia,Key Def
Alex Sexton,Gen Fwd
Paul Seedsman,Mid
Marty Hore,Gen Def
Callum Sinclair,Ruck
Trent Dumont,Mid
Aliir Aliir,Key Def
Lewis Taylor,Gen Fwd
Jack Bowes,Mid
Ryan Burton,Gen Def
Zac Bailey,Mid
Aaron Francis,Key Def
Darcy Fogarty,Gen Fwd
Stephen Hill,Gen Def
Joe Daniher,Key Fwd
Jeremy Finlayson,Key Fwd
Griffin Logue,Key Def
Ben Reid,Key Fwd
Noah Answerth,Gen Def
Matthew Kennedy,Mid
Mason Wood,Gen Fwd
Xavier Duursma,Mid
Mason Redman,Gen Def
Nick Holman,Gen Fwd
Jasper Pittard,Gen Def
Matthew Suckling,Gen Def
Jake Melksham,Gen Fwd
Sydney Stack,Mid
Josh Schache,Key Fwd
Lincoln McCarthy,Gen Fwd
Jake Carlisle,Key Def
Sam Taylor,Key Def
James Rowbottom,Mid
Jack Darling,Key Fwd
Will Setterfield,Mid
Darcy Tucker,Mid
Josh Battle,Key Fwd
David Cuningham,Mid
Shane Savage,Gen Def
Will Snelling,Gen Fwd
Karl Amon,Mid
Will Brodie,Mid
Wil Powell,Gen Fwd
Justin McInerney,Gen Def
Sam Gray,Gen Fwd
Jack Henry,Gen Def
Michael Gibbons,Mid
Paul Ahern,Mid
Sam Lloyd,Gen Fwd
Harry Himmelberg,Key Fwd
Mabior Chol,Key Fwd
Jayden Hunt,Gen Def
