Player,Team,Position,Rank
Cam Sutcliffe,P Adelaide,Mid,13.7
Jack Petruccelle,West Coast,Gen Fwd,13.7
Joshua Wagner,Melbourne,Mid,13.6
Harrison Macreadie,Carlton,Key Def,13.4
Brayden Ham,Essendon,Gen Fwd,13.4
Kyle Hartigan,Adelaide,Key Def,13.3
Charlie Constable,Geelong,Mid,13.3
Jarrod Brander,West Coast,Key Fwd,13.1
Ryan Abbott,St Kilda,Ruck,13
Darcy Fort,Geelong,Ruck,13
Chris Burgess,Gold Coast,Key Def,13
Josh Corbett,Gold Coast,Key Fwd,12.7
Hayden McLean,Sydney,Key Fwd,12.7
Ed Richards,Bulldogs,Gen Def,12.6
Rhylee West,Bulldogs,Gen Fwd,12.6
Willem Drew,P Adelaide,Mid,12.5
Jack Ross,Richmond,Mid,12.4
Jamaine Jones,West Coast,Gen Fwd,12.4
Ryan Garthwaite,Richmond,Key Def,12.3
Tom De Koning,Carlton,Key Fwd,12.3
Will Walker,N Melbourne,Gen Fwd,12.2
Fergus Greene,Bulldogs,Gen Fwd,12.1
Lachlan Keeffe,GWS,Key Def,12.1
Will Schofield,West Coast,Key Def,12.1
Flynn Appleby,Collingwood,Gen Def,12.1
Mitchell Hibberd,Essendon,Gen Def,12
Sam Wicks,Sydney,Gen Fwd,11.7
Dylan Stephens,Sydney,Mid,11.6
Brad Close,Geelong,Gen Fwd,11.5
Jacob Dawson,Gold Coast,Mid,11.4
Will Hayes,Bulldogs,Mid,11.1
Jake Stein,GWS,Key Def,11
Ned McHenry,Adelaide,Gen Fwd,11
Kyle Dunkley,Melbourne,Gen Fwd,10.8
Lachie Young,Bulldogs,Key Def,10.8
Trent Rivers,Melbourne,Gen Def,10.8
Sam Skinner,Brisbane,Key Def,10.7
Brayden Ainsworth,West Coast,Mid,10.6
Caleb Graham,Gold Coast,Key Def,10.6
Ryley Stoddart,Sydney,Gen Fwd,10.5
Brandon Zerk-Thatcher,Essendon,Key Def,10.5
Curtis Taylor,N Melbourne,Mid,10.5
Callum Moore,Carlton,Gen Def,10.3
Oskar Baker,Melbourne,Mid,10.2
Matt Eagles,Brisbane,Key Def,10.2
Kobe Mutch,Essendon,Mid,10.2
Luke Jackson,Melbourne,Ruck,10.2
Minairo Frederick,Fremantle,Gen Fwd,10.1
Joe Atley,P Adelaide,Mid,10.1
Darragh Joyce,St Kilda,Key Def,10
Tom Sparrow,Melbourne,Mid,10
Ben Cavarra,Bulldogs,Gen Fwd,9.9
Jay Lockhart,Melbourne,Mid,9.9
Irving Mosquito,Essendon,Gen Fwd,9.9
Lachlan Hosie,N Melbourne,Gen Fwd,9.9
Tom Murphy,N Melbourne,Gen Def,9.9
Jack Payne,Brisbane,Key Def,9.9
Ryan Gardner,Bulldogs,Key Def,9.8
James Bell,Sydney,Mid,9.8
Boyd Woodcock,P Adelaide,Mid,9.7
Andrew McPherson,Adelaide,Gen Def,9.6
Sam Flanders,Gold Coast,Gen Fwd,9.5
Tyler Brown,Collingwood,Mid,9.4
Doulton Langlands,St Kilda,Mid,9.4
Liam Stocker,Carlton,Mid,9.4
Connor Budarick,Gold Coast,Mid,9.4
Fischer McAsey,Adelaide,Key Def,9.3
Xavier O'Neill,West Coast,Mid,9.2
Brad Lynch,Bulldogs,Gen Def,9.1
Jack Mahony,N Melbourne,Mid,9
Cody Weightman,Bulldogs,Gen Fwd,9
Trey Ruscoe,Collingwood,Key Def,8.9
Patrick Wilson,Adelaide,Mid,8.9
Tristan Xerri,N Melbourne,Key Fwd,8.8
Jack Bytel,St Kilda,Mid,8.7
Nic Reid,West Coast,Gen Fwd,8.7
Elijah Taylor,Sydney,Gen Fwd,8.7
Atu Bosenavulagi,Collingwood,Gen Fwd,8.7
Jacob Heron,Gold Coast,Gen Def,8.7
Josh Morris,Hawthorn,Gen Fwd,8.7
Zac Foot,Sydney,Mid,8.6
Liam Henry,Fremantle,Mid,8.6
Xavier O'Halloran,GWS,Mid,8.5
Ned Cahill,Essendon,Gen Fwd,8.5
Connor Idun,GWS,Key Def,8.5
Nick Shipley,GWS,Gen Fwd,8.5
Connor Ballenden,Brisbane,Key Fwd,8.5
Toby Bedford,Melbourne,Gen Fwd,8.4
Ben Davis,Adelaide,Gen Fwd,8.4
Thomas Berry,Brisbane,Mid,8.4
Jordon Butts,Adelaide,Key Def,8.4
Matt Ling,Sydney,Mid,8.3
Tom Fullarton,Brisbane,Ruck,8.3
Jeremy Sharp,Gold Coast,Mid,8.3
Chad Warner,Sydney,Mid,8.2
Sam Philp,Carlton,Mid,8.2
Changkuoth Jiath,Hawthorn,Gen Def,8.1
Patrick Naish,Richmond,Gen Def,7.1
Mitchell Hinge,Brisbane,Gen Def,7.1
Matthew Cottrell,Carlton,Gen Def,7
Will Hamill,Adelaide,Gen Def,6.9
Joel Garner,P Adelaide,Gen Def,6.8
Tobe Watson,Fremantle,Gen Def,6.3
Francis Watson,West Coast,Gen Def,6.3
Nathan Murphy,Collingwood,Gen Def,5.6
Louis Butler,Bulldogs,Gen Def,5.5
Jason Carter,Fremantle,Gen Def,
