Player,Team,Position,Rank
Jaeger O'Meara,Hawthorn,Mid,73
Jy Simpkin,N Melbourne,Mid,72.5
Paddy Ryder,St Kilda,Ruck,72.3
Jack Lukosius,Gold Coast,Gen Def,72.2
Trent Cotchin,Richmond,Mid,71.8
Dom Sheed,West Coast,Mid,71.7
Jarman Impey,Hawthorn,Gen Def,71.4
Conor McKenna,Essendon,Gen Def,71.2
Marc Murphy,Carlton,Mid,71.2
Cale Hooker,Essendon,Key Def,71.1
Ed Langdon,Melbourne,Mid,70.8
Touk Miller,Gold Coast,Mid,70.8
Levi Casboult,Carlton,Key Fwd,70.8
Anthony McDonald-Tipungwuti,Essendon,Gen Fwd,70.6
Hugh Greenwood,Gold Coast,Mid,70.5
Matt Taberner,Fremantle,Key Fwd,70.4
Brad Crouch,Adelaide,Mid,70.2
Sam Frost,Hawthorn,Key Def,70.1
Sam Collins,Gold Coast,Key Def,69.9
Tom Doedee,Adelaide,Gen Def,69.5
Nick Coffield,St Kilda,Gen Def,69.4
Josh Daicos,Collingwood,Gen Fwd,69.4
Brody Mihocek,Collingwood,Key Fwd,69.2
Eddie Betts,Carlton,Gen Fwd,69.2
Alex Keath,Bulldogs,Key Def,69.2
Tom J. Lynch,Richmond,Key Fwd,69.2
Oliver Florent,Sydney,Mid,69.2
Jarrod Berry,Brisbane,Mid,69.1
Gryan Miers,Geelong,Gen Fwd,69
Brad Sheppard,West Coast,Gen Def,68.8
Kane Lambert,Richmond,Mid,68.7
Tom McDonald,Melbourne,Key Fwd,68.6
Hamish Hartlett,P Adelaide,Gen Def,68.3
Josh Jenkins,Geelong,Key Fwd,68
Ben Jacobs,N Melbourne,Mid,68
Jared Polec,N Melbourne,Mid,68
Quinton Narkle,Geelong,Gen Fwd,67.9
Alex Pearce,Fremantle,Key Def,67.8
Bailey Dale,Bulldogs,Gen Fwd,67.8
Isaac Smith,Hawthorn,Mid,67.8
Matthew Rowell,Gold Coast,Mid,67.8
Joel Hamling,Fremantle,Key Def,67.7
Stefan Martin,Brisbane,Ruck,67.5
Jack Ziebell,N Melbourne,Mid,67.2
Rory Lobb,Fremantle,Ruck,67.2
Hayden Crozier,Bulldogs,Gen Def,67
Liam Baker,Richmond,Gen Def,66.8
Ed Curnow,Carlton,Mid,66.3
Ricky Henderson,Hawthorn,Mid,66.1
Blake Acres,Fremantle,Gen Fwd,66
Rhys Stanley,Geelong,Ruck,65.8
Luke Dunstan,St Kilda,Mid,65.4
Charlie Ballard,Gold Coast,Key Def,65.4
Liam Duggan,West Coast,Gen Def,65.2
Tom Lynch,Adelaide,Key Fwd,65
Dan Houston,P Adelaide,Mid,65
Jarryn Geary,St Kilda,Gen Def,64.7
Jack Higgins,Richmond,Gen Fwd,64.6
Harry Perryman,GWS,Mid,64.3
Lachlan Sholl,Adelaide,Gen Def,64.3
Bayley Fritsch,Melbourne,Gen Fwd,64.2
Tom Langdon,Collingwood,Gen Def,64.1
Toby Nankervis,Richmond,Ruck,64.1
Jamie Cripps,West Coast,Gen Fwd,63.9
Connor Blakely,Fremantle,Gen Def,63.6
Jake Kolodjashnij,Geelong,Key Def,63
Lachie Weller,Gold Coast,Mid,62.6
Adam Cerra,Fremantle,Mid,62.5
Jack Riewoldt,Richmond,Key Fwd,62.5
Peter Ladhams,P Adelaide,Ruck,62.2
Luke Breust,Hawthorn,Gen Fwd,62.2
Derek Eggmolesse-Smith,Richmond,Gen Def,61.7
Tim Membrey,St Kilda,Key Fwd,61.5
Orazio Fantasia,Essendon,Gen Fwd,61.4
Justin Westhoff,P Adelaide,Key Fwd,61.4
Sebastian Ross,St Kilda,Mid,61.3
Dylan Roberton,St Kilda,Gen Def,60.9
Willie Rioli,West Coast,Gen Fwd,60.8
Toby McLean,Bulldogs,Gen Fwd,60.5
Pearce Hanley,Gold Coast,Gen Def,60.5
Jaidyn Stephenson,Collingwood,Gen Fwd,60.4
Alex Witherden,Brisbane,Gen Def,60.4
Brodie Smith,Adelaide,Mid,60.3
Jack Steven,Geelong,Mid,60.2
Bryce Gibbs,Adelaide,Gen Def,60
Bailey Williams,Bulldogs,Gen Def,59.9
Jamie Elliott,Collingwood,Gen Fwd,59.7
George Hewett,Sydney,Mid,59.7
Liam Shiels,Hawthorn,Mid,59.2
Sam Petrevski-Seton,Carlton,Gen Fwd,59.1
Gary Rohan,Geelong,Gen Fwd,58.9
Izak Rankine,Gold Coast,Gen Fwd,58.7
Gary Ablett,Geelong,Mid,58.6
Jeremy Cameron,GWS,Key Fwd,58.5
David Zaharakis,Essendon,Mid,58.5
Sam Powell-Pepper,P Adelaide,Mid,58.5
David Swallow,Gold Coast,Mid,58.2
Jack Lonie,St Kilda,Gen Fwd,58.1
Oscar Allen,West Coast,Key Fwd,58
